 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_WM_5B_P2_guides.tif:2022,3.794E-6,140.092,85.000,159.031,165.506,0.024
2,ALNINC_WM_5B_P2_guides.tif:2021,1.319E-5,135.220,85.000,172.294,179.784,0.084
3,ALNINC_WM_5B_P2_guides.tif:2020,9.647E-6,159.017,129.000,186.000,0.000,0.061
4,ALNINC_WM_5B_P2_guides.tif:2019,3.673E-5,151.921,122.650,180.987,-0.155,0.233
5,ALNINC_WM_5B_P2_guides.tif:2022,6.026E-6,126.777,85.583,157.985,56.638,0.038
6,ALNINC_WM_5B_P2_guides.tif:2021,1.290E-5,114.817,85.424,169.068,57.351,0.082
7,ALNINC_WM_5B_P2_guides.tif:2020,6.225E-6,145.406,85.985,170.403,-125.218,0.039
8,ALNINC_WM_5B_P2_guides.tif:2019,2.599E-5,147.823,111.000,175.601,-122.870,0.165
9,ALNINC_WM_5B_P2_guides.tif:2022,3.695E-6,117.528,90.398,155.000,-57.171,0.023
10,ALNINC_WM_5B_P2_guides.tif:2021,1.575E-5,118.103,85.097,157.675,-57.037,0.100
11,ALNINC_WM_5B_P2_guides.tif:2020,1.052E-5,134.251,100.902,165.801,122.638,0.067
12,ALNINC_WM_5B_P2_guides.tif:2019,3.594E-5,140.570,102.738,177.773,122.878,0.228
13,ALNINC_WM_5B_P2_guides.tif:2018,4.288E-5,116.841,76.677,164.924,-57.193,0.272
14,ALNINC_WM_5B_P2_guides.tif:2018,4.486E-5,141.069,82.007,174.884,0.127,0.285
15,ALNINC_WM_5B_P2_guides.tif:2018,3.271E-5,140.232,78.714,175.405,-122.798,0.208
