 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_GR12_P3_guides.tif:2022,6.572E-6,154.483,86.200,213.270,175.002,0.042
2,BETALL_GR12_P3_guides.tif:2021,8.258E-6,169.476,86.256,222.066,174.118,0.052
3,BETALL_GR12_P3_guides.tif:2020,7.936E-6,168.638,86.867,212.700,175.684,0.050
4,BETALL_GR12_P3_guides.tif:2019,2.582E-5,168.019,85.000,228.816,179.835,0.164
5,BETALL_GR12_P3_guides.tif:2018,2.686E-5,130.571,85.000,208.416,179.894,0.170
6,BETALL_GR12_P3_guides.tif:2016,1.240E-5,154.926,85.000,210.959,179.770,0.079
7,BETALL_GR12_P3_guides.tif:2022,9.424E-6,170.916,88.041,217.310,54.673,0.060
8,BETALL_GR12_P3_guides.tif:2021,1.180E-5,183.228,85.000,227.713,54.603,0.075
9,BETALL_GR12_P3_guides.tif:2020,6.845E-6,159.421,85.000,228.086,56.714,0.043
10,BETALL_GR12_P3_guides.tif:2019,2.076E-5,184.036,89.892,225.509,58.895,0.132
11,BETALL_GR12_P3_guides.tif:2018,2.773E-5,160.357,96.583,230.245,57.206,0.176
12,BETALL_GR12_P3_guides.tif:2017,9.300E-6,158.033,109.330,203.443,56.989,0.059
13,BETALL_GR12_P3_guides.tif:2016,1.156E-5,124.399,86.143,198.990,57.472,0.073
14,BETALL_GR12_P3_guides.tif:2022,5.778E-6,172.860,85.809,205.051,-54.806,0.037
15,BETALL_GR12_P3_guides.tif:2021,8.184E-6,186.669,165.663,222.128,-56.793,0.052
16,BETALL_GR12_P3_guides.tif:2020,7.316E-6,166.765,85.350,220.830,-56.364,0.046
17,BETALL_GR12_P3_guides.tif:2019,3.001E-5,174.618,85.000,238.734,-57.125,0.190
18,BETALL_GR12_P3_guides.tif:2018,2.795E-5,173.045,85.161,226.872,-56.846,0.177
19,BETALL_GR12_P3_guides.tif:2017,8.110E-6,177.599,157.888,205.169,-56.895,0.051
20,BETALL_GR12_P3_guides.tif:2016,1.009E-5,121.645,85.000,197.333,-57.171,0.064
21,BETALL_GR12_P3_guides.tif:2017,1.037E-5,156.339,85.647,203.859,179.176,0.066
