 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_HF16_P12_guides.tif:2017,1.669E-5,108.113,70.619,171.171,179.659,0.106
2,BETPAP_HF16_P12_guides.tif:2017,2.869E-5,117.130,85.872,152.755,-58.373,0.182
3,BETPAP_HF16_P12_guides.tif:2018,2.165E-5,112.983,85.128,152.336,179.474,0.137
4,BETPAP_HF16_P12_guides.tif:2018,2.398E-5,119.085,99.600,166.098,-57.297,0.152
5,BETPAP_HF16_P12_guides.tif:2019,5.148E-5,122.388,86.303,158.604,56.379,0.327
6,BETPAP_HF16_P12_guides.tif:2019,4.263E-5,119.680,91.439,168.501,-57.337,0.270
7,BETPAP_HF16_P12_guides.tif:2019,2.532E-5,105.652,74.020,148.009,179.551,0.161
8,BETPAP_HF16_P12_guides.tif:2020,5.062E-5,131.467,96.867,168.686,179.326,0.321
9,BETPAP_HF16_P12_guides.tif:2020,5.292E-5,123.905,96.333,174.762,57.405,0.336
10,BETPAP_HF16_P12_guides.tif:2020,4.365E-5,120.303,94.757,164.153,-57.394,0.277
11,BETPAP_HF16_P12_guides.tif:2021,2.019E-5,132.232,85.766,172.536,-177.180,0.128
12,BETPAP_HF16_P12_guides.tif:2021,1.907E-5,127.973,92.000,175.134,57.117,0.121
13,BETPAP_HF16_P12_guides.tif:2021,1.451E-5,127.052,95.588,168.054,-58.026,0.092
14,BETPAP_HF16_P12_guides.tif:2022,6.899E-5,137.730,85.418,176.488,-178.434,0.438
15,BETPAP_HF16_P12_guides.tif:2022,5.716E-5,129.229,64.761,166.204,57.552,0.363
16,BETPAP_HF16_P12_guides.tif:2022,6.255E-5,138.251,86.251,176.504,-57.293,0.397
