 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_HF_16A_P6_guides.tif:2022,2.721E-5,127.909,80.672,171.586,179.582,0.173
2,BETPAP_HF_16A_P6_guides.tif:2021,2.770E-5,127.552,99.369,166.366,179.795,0.176
3,BETPAP_HF_16A_P6_guides.tif:2020,2.165E-5,133.805,101.000,174.333,180.000,0.137
4,BETPAP_HF_16A_P6_guides.tif:2019,2.383E-5,129.491,96.000,171.667,180.000,0.151
5,BETPAP_HF_16A_P6_guides.tif:2018,2.631E-5,126.297,99.528,164.278,-179.784,0.167
6,BETPAP_HF_16A_P6_guides.tif:2017,1.471E-5,117.336,89.000,166.333,180.000,0.093
7,BETPAP_HF_16A_P6_guides.tif:2016,7.266E-6,116.056,85.000,164.973,-179.215,0.046
8,BETPAP_HF_16A_P6_guides.tif:2022,2.269E-5,149.590,87.727,184.470,56.240,0.144
9,BETPAP_HF_16A_P6_guides.tif:2021,2.284E-5,152.674,88.679,181.313,55.273,0.145
10,BETPAP_HF_16A_P6_guides.tif:2020,2.187E-5,147.098,85.097,179.006,55.733,0.139
11,BETPAP_HF_16A_P6_guides.tif:2019,2.311E-5,139.149,106.000,170.914,56.925,0.147
12,BETPAP_HF_16A_P6_guides.tif:2018,2.589E-5,132.753,100.545,169.503,57.529,0.164
13,BETPAP_HF_16A_P6_guides.tif:2017,1.409E-5,121.892,99.503,151.346,57.095,0.089
14,BETPAP_HF_16A_P6_guides.tif:2016,8.606E-6,112.143,84.319,166.782,59.434,0.055
15,BETPAP_HF_16A_P6_guides.tif:2022,2.790E-5,148.843,76.060,186.828,-57.200,0.177
16,BETPAP_HF_16A_P6_guides.tif:2021,2.339E-5,154.131,130.000,181.581,-57.221,0.148
17,BETPAP_HF_16A_P6_guides.tif:2020,2.840E-5,140.060,112.691,182.213,-57.310,0.180
18,BETPAP_HF_16A_P6_guides.tif:2019,2.602E-5,133.665,106.732,174.471,-57.038,0.165
19,BETPAP_HF_16A_P6_guides.tif:2018,2.666E-5,142.992,112.698,176.477,-57.197,0.169
20,BETPAP_HF_16A_P6_guides.tif:2017,1.290E-5,128.916,107.533,163.011,-57.503,0.082
21,BETPAP_HF_16A_P6_guides.tif:2016,7.886E-6,109.878,82.512,153.538,-59.315,0.050
