 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5B_P3_guides.tif:2022,9.598E-6,140.639,97.295,170.240,-145.446,0.061
2,BETPOP_GR5B_P3_guides.tif:2021,1.513E-5,134.729,99.691,167.890,-150.489,0.096
3,BETPOP_GR5B_P3_guides.tif:2019,4.132E-5,130.828,85.058,170.982,179.794,0.262
4,BETPOP_GR5B_P3_guides.tif:2018,7.348E-5,135.854,106.274,168.898,-179.923,0.466
5,BETPOP_GR5B_P3_guides.tif:2017,3.083E-5,110.232,68.333,152.000,180.000,0.196
6,BETPOP_GR5B_P3_guides.tif:2022,7.242E-6,128.806,105.172,157.411,56.201,0.046
7,BETPOP_GR5B_P3_guides.tif:2021,9.523E-6,132.833,110.496,180.232,52.741,0.060
8,BETPOP_GR5B_P3_guides.tif:2019,4.737E-5,134.510,90.734,173.518,55.436,0.301
9,BETPOP_GR5B_P3_guides.tif:2018,7.849E-5,121.525,70.176,172.815,56.265,0.498
10,BETPOP_GR5B_P3_guides.tif:2017,3.222E-5,89.221,63.195,138.637,57.265,0.204
11,BETPOP_GR5B_P3_guides.tif:2022,8.655E-6,124.022,90.006,154.073,-59.234,0.055
12,BETPOP_GR5B_P3_guides.tif:2020,7.986E-6,123.851,85.836,147.199,-58.392,0.050
13,BETPOP_GR5B_P3_guides.tif:2019,2.716E-5,79.313,0.000,169.489,-57.312,0.172
14,BETPOP_GR5B_P3_guides.tif:2018,6.041E-5,114.116,74.708,169.143,-57.426,0.383
15,BETPOP_GR5B_P3_guides.tif:2017,3.093E-5,102.562,69.856,169.539,-57.190,0.196
16,BETPOP_GR5B_P3_guides.tif:2023,2.393E-5,142.556,93.732,173.645,23.721,0.152
17,BETPOP_GR5B_P3_guides.tif:2020,1.257E-5,139.994,90.330,176.584,25.044,0.080
18,BETPOP_GR5B_P3_guides.tif:2023,6.795E-6,123.548,95.343,154.379,57.706,0.043
19,BETPOP_GR5B_P3_guides.tif:2020,1.362E-5,128.973,87.953,161.961,52.712,0.086
20,BETPOP_GR5B_P3_guides.tif:2021,1.061E-5,110.625,85.000,141.709,-57.426,0.067
21,BETPOP_GR5B_P3_guides.tif:2023,3.817E-5,88.869,0.000,154.743,-58.231,0.242
