 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR_5B_P12_guides.tif:2016,2.254E-5,117.199,84.596,159.390,-179.874,0.143
2,BETPOP_GR_5B_P12_guides.tif:2016,2.438E-5,128.030,77.029,186.849,57.054,0.155
3,BETPOP_GR_5B_P12_guides.tif:2016,2.130E-5,102.564,71.515,145.608,-57.811,0.135
4,BETPOP_GR_5B_P12_guides.tif:2017,3.993E-5,130.377,64.353,167.708,57.693,0.253
5,BETPOP_GR_5B_P12_guides.tif:2017,3.393E-5,124.382,96.661,161.831,-57.182,0.215
6,BETPOP_GR_5B_P12_guides.tif:2017,3.817E-5,127.133,69.667,166.667,180.000,0.242
7,BETPOP_GR_5B_P12_guides.tif:2018,3.447E-5,133.865,104.000,181.333,180.000,0.219
8,BETPOP_GR_5B_P12_guides.tif:2018,2.187E-5,133.854,105.806,168.841,56.671,0.139
9,BETPOP_GR_5B_P12_guides.tif:2018,2.247E-5,134.872,111.391,171.517,-57.048,0.142
10,BETPOP_GR_5B_P12_guides.tif:2019,3.584E-5,133.592,86.540,180.652,-169.227,0.227
11,BETPOP_GR_5B_P12_guides.tif:2019,3.323E-5,133.667,111.271,172.169,57.686,0.211
12,BETPOP_GR_5B_P12_guides.tif:2019,2.458E-5,142.322,89.386,181.209,-57.369,0.156
13,BETPOP_GR_5B_P12_guides.tif:2020,4.484E-5,138.697,86.536,173.189,-166.948,0.285
14,BETPOP_GR_5B_P12_guides.tif:2020,4.003E-5,135.186,111.255,168.094,57.453,0.254
15,BETPOP_GR_5B_P12_guides.tif:2020,4.067E-5,145.249,118.436,180.942,-57.328,0.258
16,BETPOP_GR_5B_P12_guides.tif:2022,3.150E-5,145.873,85.410,179.450,-171.072,0.200
17,BETPOP_GR_5B_P12_guides.tif:2022,2.341E-5,138.340,85.495,171.986,57.776,0.149
18,BETPOP_GR_5B_P12_guides.tif:2022,3.147E-5,142.848,86.765,172.662,-58.052,0.200
19,BETPOP_GR_5B_P12_guides.tif:Comment,0.001,144.852,109.000,193.000,0.000,0.000
20,BETPOP_GR_5B_P12_guides.tif:False,0.005,115.754,62.000,189.000,0.000,0.000
21,BETPOP_GR_5B_P12_guides.tif:2021,7.688E-6,145.140,92.446,173.090,-163.443,0.049
22,BETPOP_GR_5B_P12_guides.tif:2021,1.562E-5,140.908,122.388,165.919,57.068,0.099
23,BETPOP_GR_5B_P12_guides.tif:2021,1.371E-5,141.381,89.250,171.420,-61.066,0.087
