 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_HF3B_P6_guides.tif:23,1.183E-5,174.152,85.000,229.188,179.759,0.075
2,BETPOP_HF3B_P6_guides.tif:22,8.060E-6,166.479,85.000,212.222,-179.646,0.051
3,BETPOP_HF3B_P6_guides.tif:21,3.145E-5,193.876,86.440,240.106,-178.371,0.199
4,BETPOP_HF3B_P6_guides.tif:20,1.213E-5,171.541,85.000,234.574,0.470,0.077
5,BETPOP_HF3B_P6_guides.tif:19,2.453E-5,154.830,104.156,205.155,179.884,0.156
6,BETPOP_HF3B_P6_guides.tif:18,3.182E-5,145.660,85.000,212.342,-179.911,0.202
7,BETPOP_HF3B_P6_guides.tif:17,2.101E-5,144.290,107.667,199.000,180.000,0.133
8,BETPOP_HF3B_P6_guides.tif:16,2.086E-5,128.903,85.000,173.273,179.727,0.132
9,BETPOP_HF3B_P6_guides.tif:15,2.428E-5,85.098,85.000,116.000,180.000,0.154
10,BETPOP_HF3B_P6_guides.tif:23,7.366E-6,161.659,99.333,207.167,56.846,0.047
11,BETPOP_HF3B_P6_guides.tif:22,1.525E-5,167.040,110.403,224.304,57.242,0.097
12,BETPOP_HF3B_P6_guides.tif:21,4.590E-5,151.309,85.000,223.094,57.358,0.291
13,BETPOP_HF3B_P6_guides.tif:20,9.399E-6,144.051,76.922,195.247,57.319,0.059
14,BETPOP_HF3B_P6_guides.tif:19,2.854E-5,126.256,85.000,194.494,57.361,0.181
15,BETPOP_HF3B_P6_guides.tif:18,4.003E-5,149.848,121.333,179.846,57.196,0.254
16,BETPOP_HF3B_P6_guides.tif:17,1.679E-5,142.205,88.507,186.739,54.758,0.106
17,BETPOP_HF3B_P6_guides.tif:16,1.748E-5,137.400,77.900,182.342,54.009,0.111
18,BETPOP_HF3B_P6_guides.tif:15,2.225E-5,105.246,43.182,158.598,57.303,0.141
19,BETPOP_HF3B_P6_guides.tif:23,1.461E-5,149.014,72.441,183.020,-56.796,0.093
20,BETPOP_HF3B_P6_guides.tif:22,6.175E-6,126.301,85.000,174.745,-57.848,0.039
21,BETPOP_HF3B_P6_guides.tif:21,3.214E-5,146.246,104.876,202.298,-57.291,0.204
22,BETPOP_HF3B_P6_guides.tif:20,1.094E-5,157.052,97.274,205.867,-59.706,0.069
23,BETPOP_HF3B_P6_guides.tif:19,2.262E-5,174.119,98.698,216.340,-57.008,0.143
24,BETPOP_HF3B_P6_guides.tif:18,2.889E-5,139.308,58.240,201.122,-57.129,0.183
25,BETPOP_HF3B_P6_guides.tif:17,1.793E-5,155.118,109.586,195.177,-57.103,0.114
26,BETPOP_HF3B_P6_guides.tif:16,2.048E-5,115.817,85.000,189.662,-57.273,0.130
27,BETPOP_HF3B_P6_guides.tif:15,2.629E-5,105.936,85.135,177.465,-57.180,0.167
