 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_HF__P6_guides.tif:False ring,5.881E-4,159.633,129.000,216.000,0.000,0.000
2,BETPOP_HF__P6_guides.tif:2022,2.629E-6,170.862,139.667,203.000,180.000,0.017
3,BETPOP_HF__P6_guides.tif:2021,8.978E-6,157.920,87.382,198.655,-173.485,0.057
4,BETPOP_HF__P6_guides.tif:2020,3.596E-6,160.534,85.878,198.958,14.906,0.023
5,BETPOP_HF__P6_guides.tif:2019,1.027E-5,160.526,85.935,215.058,17.164,0.065
6,BETPOP_HF__P6_guides.tif:2018,1.905E-5,159.269,97.573,200.296,-163.100,0.121
7,BETPOP_HF__P6_guides.tif:2017,1.329E-5,130.428,85.000,182.551,0.428,0.084
8,BETPOP_HF__P6_guides.tif:2022,3.001E-6,159.775,101.503,200.164,36.010,0.019
9,BETPOP_HF__P6_guides.tif:2021,9.746E-6,156.341,111.049,200.126,37.747,0.062
10,BETPOP_HF__P6_guides.tif:2020,3.918E-6,161.682,102.846,204.117,38.260,0.025
11,BETPOP_HF__P6_guides.tif:2018,1.773E-5,161.530,105.675,193.882,42.387,0.112
12,BETPOP_HF__P6_guides.tif:2017,1.734E-5,138.475,85.000,183.780,53.852,0.110
13,BETPOP_HF__P6_guides.tif:2016,5.878E-6,111.639,85.000,170.313,57.789,0.037
14,BETPOP_HF__P6_guides.tif:2022,3.274E-6,140.743,85.765,202.939,-58.134,0.021
15,BETPOP_HF__P6_guides.tif:2020,3.174E-6,169.707,146.845,205.211,-55.934,0.020
16,BETPOP_HF__P6_guides.tif:2019,1.066E-5,150.543,85.000,198.105,-56.976,0.068
17,BETPOP_HF__P6_guides.tif:2018,1.602E-5,134.594,85.411,188.801,-58.183,0.102
18,BETPOP_HF__P6_guides.tif:2017,1.019E-5,134.900,100.936,180.496,-57.240,0.065
19,BETPOP_HF__P6_guides.tif:2016,5.233E-6,118.979,85.000,175.371,-56.461,0.033
20,BETPOP_HF__P6_guides.tif:2023,8.903E-6,147.308,85.000,198.909,-0.320,0.056
21,BETPOP_HF__P6_guides.tif:2016,5.580E-6,99.373,85.030,129.375,0.256,0.035
22,BETPOP_HF__P6_guides.tif:2019,1.302E-5,163.681,89.611,201.075,41.906,0.083
23,BETPOP_HF__P6_guides.tif:2023,6.448E-6,155.949,86.643,199.647,-56.004,0.041
24,BETPOP_HF__P6_guides.tif:2021,7.862E-6,156.088,91.361,205.383,-55.706,0.050
25,BETPOP_HF__P6_guides.tif:2023,6.622E-6,164.783,95.792,205.544,38.357,0.042
