 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_WM8_P16_guides.tif:2022,2.852E-6,138.209,103.667,163.000,180.000,0.018
2,BETPOP_WM8_P16_guides.tif:2021,2.438E-5,147.197,117.667,176.000,180.000,0.155
3,BETPOP_WM8_P16_guides.tif:2020,2.378E-5,147.035,127.405,170.138,-179.880,0.151
4,BETPOP_WM8_P16_guides.tif:2019,1.704E-5,143.653,114.758,174.212,-179.833,0.108
5,BETPOP_WM8_P16_guides.tif:2018,1.907E-5,133.133,106.262,169.862,-179.851,0.121
6,BETPOP_WM8_P16_guides.tif:2017,1.773E-5,125.232,70.000,162.667,180.000,0.112
7,BETPOP_WM8_P16_guides.tif:2022,1.012E-5,132.237,85.707,176.525,57.637,0.064
8,BETPOP_WM8_P16_guides.tif:2021,4.268E-5,146.278,77.397,179.724,57.345,0.271
9,BETPOP_WM8_P16_guides.tif:2020,3.244E-5,136.433,85.000,176.420,56.164,0.206
10,BETPOP_WM8_P16_guides.tif:2019,1.674E-5,136.965,102.931,167.846,57.724,0.106
11,BETPOP_WM8_P16_guides.tif:2018,2.073E-5,136.974,110.648,170.468,57.224,0.131
12,BETPOP_WM8_P16_guides.tif:2017,2.277E-5,113.097,81.000,155.590,57.558,0.144
13,BETPOP_WM8_P16_guides.tif:2022,1.652E-5,125.688,85.000,161.376,-57.027,0.105
14,BETPOP_WM8_P16_guides.tif:2021,4.960E-5,139.308,86.154,179.247,-56.962,0.315
15,BETPOP_WM8_P16_guides.tif:2020,2.983E-5,133.092,107.638,181.165,-57.156,0.189
16,BETPOP_WM8_P16_guides.tif:2019,1.858E-5,129.125,110.361,169.935,-57.117,0.118
17,BETPOP_WM8_P16_guides.tif:2018,2.044E-5,131.471,105.667,174.932,-57.005,0.130
18,BETPOP_WM8_P16_guides.tif:2017,1.900E-5,108.893,75.160,155.692,-57.391,0.120
