 ,Label,Area,Mean,Min,Max,Angle,Length
1,QUERNA_HF19_NA_guides.tif:2022,1.833E-5,112.144,32.431,165.325,-179.845,0.116
2,QUERNA_HF19_NA_guides.tif:2021,8.333E-6,135.443,85.000,172.333,179.487,0.053
3,QUERNA_HF19_NA_guides.tif:2019,9.102E-6,150.936,126.333,174.667,180.000,0.058
4,QUERNA_HF19_NA_guides.tif:2018,2.492E-5,136.539,86.739,166.149,179.829,0.158
5,QUERNA_HF19_NA_guides.tif:2022,2.815E-5,114.720,91.048,155.896,79.840,0.179
6,QUERNA_HF19_NA_guides.tif:2021,1.652E-5,125.644,94.143,149.038,88.363,0.105
7,QUERNA_HF19_NA_guides.tif:2020,8.184E-6,126.583,93.758,175.333,89.826,0.052
8,QUERNA_HF19_NA_guides.tif:2019,1.540E-5,134.024,85.000,178.932,57.054,0.098
9,QUERNA_HF19_NA_guides.tif:2018,2.735E-5,145.402,114.759,185.616,56.771,0.174
10,QUERNA_HF19_NA_guides.tif:2022,2.259E-5,142.634,85.352,190.727,-82.930,0.143
11,QUERNA_HF19_NA_guides.tif:2021,1.488E-5,127.173,85.805,158.637,-83.766,0.094
12,QUERNA_HF19_NA_guides.tif:2020,6.398E-6,155.609,86.581,174.191,-72.553,0.040
13,QUERNA_HF19_NA_guides.tif:2019,1.488E-5,130.968,86.984,161.693,-71.202,0.094
14,QUERNA_HF19_NA_guides.tif:2018,2.797E-5,128.590,29.131,165.400,-57.240,0.178
15,QUERNA_HF19_NA_guides.tif:2020,4.960E-6,147.792,130.199,165.811,179.424,0.031
