 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPAP_HF16_P3_guides.tif:22,9.598E-6,205.125,160.667,243.333,180.000,0.061
2,BETPAP_HF16_P3_guides.tif:21,3.125E-6,170.964,85.000,238.829,179.083,0.020
3,BETPAP_HF16_P3_guides.tif:false ring,2.625E-4,205.313,166.000,248.000,0.000,0.000
4,BETPAP_HF16_P3_guides.tif:20,2.976E-6,114.989,85.398,150.139,179.519,0.019
5,BETPAP_HF16_P3_guides.tif:19,2.852E-5,193.297,145.276,242.659,0.050,0.181
6,BETPAP_HF16_P3_guides.tif:18,3.891E-5,142.874,85.000,234.055,-179.963,0.247
7,BETPAP_HF16_P3_guides.tif:17,1.153E-5,186.329,85.000,230.276,179.877,0.073
8,BETPAP_HF16_P3_guides.tif:22,1.215E-5,150.335,85.293,232.229,57.448,0.077
9,BETPAP_HF16_P3_guides.tif:21,6.696E-6,175.680,85.000,231.018,57.431,0.042
10,BETPAP_HF16_P3_guides.tif:20,5.952E-6,169.080,85.000,246.460,57.107,0.038
11,BETPAP_HF16_P3_guides.tif:19,3.155E-5,167.661,85.318,239.082,57.435,0.200
12,BETPAP_HF16_P3_guides.tif:18,3.866E-5,142.371,85.000,228.564,57.207,0.245
13,BETPAP_HF16_P3_guides.tif:17,1.138E-5,142.219,85.000,213.069,57.490,0.072
14,BETPAP_HF16_P3_guides.tif:22,1.443E-5,150.858,85.401,219.333,-57.075,0.092
15,BETPAP_HF16_P3_guides.tif:21,4.315E-6,177.178,86.214,221.907,-55.389,0.027
16,BETPAP_HF16_P3_guides.tif:20,3.174E-6,141.793,85.746,193.022,-56.560,0.020
17,BETPAP_HF16_P3_guides.tif:19,3.541E-5,177.250,85.148,234.983,-57.067,0.225
18,BETPAP_HF16_P3_guides.tif:18,3.842E-5,189.221,120.980,240.155,-57.131,0.244
19,BETPAP_HF16_P3_guides.tif:17,1.285E-5,156.423,85.000,223.922,-57.478,0.081
