 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR3_P6_guides.tif:22,1.342E-5,188.775,126.686,232.963,-179.788,0.085
2,BETPOP_GR3_P6_guides.tif:21,1.416E-5,166.351,85.000,220.663,179.799,0.090
3,BETPOP_GR3_P6_guides.tif:20,1.562E-5,199.096,167.667,241.667,180.000,0.099
4,BETPOP_GR3_P6_guides.tif:19,3.589E-5,187.303,162.609,232.217,179.921,0.228
5,BETPOP_GR3_P6_guides.tif:18,4.878E-5,133.714,85.000,206.375,179.942,0.310
6,BETPOP_GR3_P6_guides.tif:17,2.279E-5,130.687,85.000,184.131,-179.875,0.145
7,BETPOP_GR3_P6_guides.tif:16,1.193E-5,117.131,85.000,175.400,179.761,0.076
8,BETPOP_GR3_P6_guides.tif:22,4.464E-6,194.534,91.718,225.769,51.340,0.028
9,BETPOP_GR3_P6_guides.tif:21,9.672E-7,206.696,99.746,227.667,42.879,0.006
10,BETPOP_GR3_P6_guides.tif:20,3.894E-6,200.832,107.233,224.872,49.160,0.025
11,BETPOP_GR3_P6_guides.tif:19,2.262E-5,196.555,96.023,236.802,53.482,0.143
12,BETPOP_GR3_P6_guides.tif:18,3.326E-5,188.155,85.634,230.353,56.262,0.211
13,BETPOP_GR3_P6_guides.tif:17,2.530E-5,157.094,86.297,215.020,57.589,0.160
14,BETPOP_GR3_P6_guides.tif:16,9.771E-6,155.310,86.411,213.588,58.087,0.062
15,BETPOP_GR3_P6_guides.tif:22,3.497E-6,191.353,146.171,215.247,-57.560,0.022
16,BETPOP_GR3_P6_guides.tif:21,3.844E-6,179.476,85.000,214.022,-55.069,0.024
17,BETPOP_GR3_P6_guides.tif:20,1.575E-5,156.424,85.000,213.791,-57.362,0.100
18,BETPOP_GR3_P6_guides.tif:19,5.704E-7,196.812,180.667,205.970,-57.724,0.004
19,BETPOP_GR3_P6_guides.tif:18,2.066E-5,154.313,85.000,208.890,-57.112,0.131
20,BETPOP_GR3_P6_guides.tif:17,2.170E-5,152.617,85.231,213.438,-57.001,0.138
21,BETPOP_GR3_P6_guides.tif:16,1.029E-5,139.616,85.000,197.783,-57.040,0.065
