 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_SH1_P12_guides.tif:22,4.489E-6,172.445,128.333,206.294,137.021,0.028
2,ALNINC_SH1_P12_guides.tif:21,2.614E-5,170.427,115.770,201.105,126.151,0.166
3,ALNINC_SH1_P12_guides.tif:20,1.924E-5,173.078,144.067,200.465,112.296,0.122
4,ALNINC_SH1_P12_guides.tif:19,2.835E-5,167.905,128.162,200.413,93.013,0.180
5,ALNINC_SH1_P12_guides.tif:18,1.796E-5,158.320,112.779,188.959,90.238,0.114
6,ALNINC_SH1_P12_guides.tif:17,2.413E-5,149.896,109.145,178.586,80.945,0.153
7,ALNINC_SH1_P12_guides.tif:16,1.967E-5,144.416,109.000,167.652,70.536,0.125
8,ALNINC_SH1_P12_guides.tif:22,9.350E-6,171.941,108.333,198.467,-86.338,0.059
9,ALNINC_SH1_P12_guides.tif:16,1.791E-5,151.033,54.429,199.183,110.472,0.113
10,ALNINC_SH1_P12_guides.tif:17,2.071E-5,135.911,94.556,167.945,104.586,0.131
11,ALNINC_SH1_P12_guides.tif:18,3.546E-5,135.283,95.658,184.434,83.367,0.225
12,ALNINC_SH1_P12_guides.tif:19,4.930E-5,160.684,113.433,197.542,86.999,0.313
13,ALNINC_SH1_P12_guides.tif:20,3.894E-5,168.752,136.921,192.363,88.539,0.247
14,ALNINC_SH1_P12_guides.tif:21,7.214E-5,167.668,120.716,216.734,93.016,0.458
