 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_SH5_P6_guides.tif:16,1.657E-5,173.670,102.139,209.959,86.734,0.105
2,BETALL_SH5_P6_guides.tif:17,1.411E-5,186.012,166.082,218.075,90.605,0.089
3,BETALL_SH5_P6_guides.tif:18,2.631E-5,190.565,160.507,216.702,91.189,0.167
4,BETALL_SH5_P6_guides.tif:19,3.217E-5,194.110,174.713,227.956,90.619,0.204
5,BETALL_SH5_P6_guides.tif:20,3.422E-5,196.469,169.149,234.956,97.166,0.217
6,BETALL_SH5_P6_guides.tif:21,1.312E-5,196.300,166.728,221.838,104.036,0.083
7,BETALL_SH5_P6_guides.tif:22,2.145E-5,194.734,138.692,231.898,101.752,0.136
8,BETALL_SH5_P6_guides.tif:16,1.371E-5,178.529,127.737,206.084,-98.541,0.087
9,BETALL_SH5_P6_guides.tif:17,2.083E-5,176.191,149.182,209.015,-100.855,0.132
10,BETALL_SH5_P6_guides.tif:18,2.649E-5,188.463,166.743,214.548,-97.431,0.168
11,BETALL_SH5_P6_guides.tif:19,1.964E-5,190.673,174.044,216.582,-98.581,0.125
12,BETALL_SH5_P6_guides.tif:20,2.296E-5,192.938,177.024,221.700,-100.216,0.146
13,BETALL_SH5_P6_guides.tif:21,1.255E-5,198.257,176.850,226.760,-104.697,0.079
14,BETALL_SH5_P6_guides.tif:22,2.525E-5,186.467,159.758,228.225,-100.537,0.160
