 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM8A_P5_guides.tif:22,1.436E-5,168.980,137.667,232.141,-109.281,0.091
2,BETALL_WM8A_P5_guides.tif:21,4.449E-5,180.452,144.871,225.243,-101.874,0.282
3,BETALL_WM8A_P5_guides.tif:20,3.207E-5,183.628,146.800,221.310,-104.391,0.203
4,BETALL_WM8A_P5_guides.tif:19,2.966E-5,174.599,140.171,222.004,-106.024,0.188
5,BETALL_WM8A_P5_guides.tif:18,3.970E-5,167.833,127.625,212.822,-102.785,0.252
6,BETALL_WM8A_P5_guides.tif:17,3.155E-5,152.063,105.058,200.293,-109.590,0.200
7,BETALL_WM8A_P5_guides.tif:22,2.026E-5,155.303,122.270,227.598,90.140,0.129
8,BETALL_WM8A_P5_guides.tif:21,3.353E-5,152.633,121.173,208.045,88.091,0.213
9,BETALL_WM8A_P5_guides.tif:20,2.520E-5,177.483,146.295,210.373,87.967,0.160
10,BETALL_WM8A_P5_guides.tif:19,3.710E-5,175.934,154.343,218.234,94.258,0.235
