 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM8_P12_guides.tif:22,7.862E-6,194.626,171.653,224.378,-83.820,0.050
2,BETALL_WM8_P12_guides.tif:21,5.406E-6,194.444,180.129,214.000,-84.710,0.034
3,BETALL_WM8_P12_guides.tif:20,1.510E-5,198.621,174.517,233.303,-84.908,0.096
4,BETALL_WM8_P12_guides.tif:19,2.956E-5,194.634,173.953,234.305,-80.237,0.188
5,BETALL_WM8_P12_guides.tif:18,4.933E-5,194.959,103.737,227.983,-68.702,0.313
6,BETALL_WM8_P12_guides.tif:22,6.597E-6,185.302,127.554,219.751,64.016,0.042
7,BETALL_WM8_P12_guides.tif:21,4.018E-6,189.439,169.496,222.012,66.615,0.025
8,BETALL_WM8_P12_guides.tif:20,1.505E-5,192.104,175.992,217.200,68.515,0.095
9,BETALL_WM8_P12_guides.tif:19,2.907E-5,193.351,169.272,231.474,71.689,0.184
10,BETALL_WM8_P12_guides.tif:22,7.862E-6,194.626,171.653,224.378,-83.820,0.050
11,BETALL_WM8_P12_guides.tif:21,5.406E-6,194.444,180.129,214.000,-84.710,0.034
12,BETALL_WM8_P12_guides.tif:20,1.510E-5,198.621,174.517,233.303,-84.908,0.096
13,BETALL_WM8_P12_guides.tif:19,2.956E-5,194.634,173.953,234.305,-80.237,0.188
14,BETALL_WM8_P12_guides.tif:18,4.933E-5,194.959,103.737,227.983,-68.702,0.313
15,BETALL_WM8_P12_guides.tif:22,6.597E-6,185.302,127.554,219.751,64.016,0.042
16,BETALL_WM8_P12_guides.tif:21,4.018E-6,189.439,169.496,222.012,66.615,0.025
17,BETALL_WM8_P12_guides.tif:20,1.505E-5,192.104,175.992,217.200,68.515,0.095
18,BETALL_WM8_P12_guides.tif:19,2.907E-5,193.351,169.272,231.474,71.689,0.184
