 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_HF1_P2_guides.tif:17,1.138E-5,174.756,148.983,219.294,162.198,0.072
2,BETPOP_HF1_P2_guides.tif:18,3.465E-5,169.351,131.309,216.963,124.373,0.220
3,BETPOP_HF1_P2_guides.tif:19,2.532E-5,166.498,137.820,201.482,108.293,0.161
4,BETPOP_HF1_P2_guides.tif:20,1.324E-5,168.983,138.791,217.395,106.123,0.084
5,BETPOP_HF1_P2_guides.tif:21,1.327E-5,165.049,133.153,207.581,102.995,0.084
6,BETPOP_HF1_P2_guides.tif:22,5.059E-6,176.704,137.333,202.201,100.204,0.032
7,BETPOP_HF1_P2_guides.tif:22,9.027E-6,181.802,144.994,213.763,87.161,0.057
8,BETPOP_HF1_P2_guides.tif:21,3.792E-5,187.331,154.429,222.869,82.443,0.241
9,BETPOP_HF1_P2_guides.tif:20,1.518E-5,176.835,152.034,218.243,76.373,0.096
10,BETPOP_HF1_P2_guides.tif:19,3.554E-5,178.427,140.468,218.018,73.197,0.226
11,BETPOP_HF1_P2_guides.tif:18,5.235E-5,178.403,138.597,222.840,64.929,0.332
12,BETPOP_HF1_P2_guides.tif:17,1.753E-5,166.235,115.961,216.333,33.218,0.111
