 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_WM8_P15_guides-1.tif:22,1.007E-5,184.032,139.683,206.924,-108.435,0.064
2,BETPOP_WM8_P15_guides-1.tif:21,2.507E-5,191.499,166.000,226.334,-103.981,0.159
3,BETPOP_WM8_P15_guides-1.tif:20,7.440E-7,189.066,176.087,211.000,-123.690,0.005
4,BETPOP_WM8_P15_guides-1.tif:19,2.964E-5,190.723,163.142,220.277,-102.779,0.188
5,BETPOP_WM8_P15_guides-1.tif:18,2.619E-5,184.327,153.672,215.096,-102.929,0.166
6,BETPOP_WM8_P15_guides-1.tif:17,3.427E-5,175.063,146.364,214.789,-100.854,0.217
7,BETPOP_WM8_P15_guides-1.tif:16,1.897E-5,165.484,92.096,199.889,-108.150,0.120
8,BETPOP_WM8_P15_guides-1.tif:22,2.264E-5,169.624,143.044,216.474,88.493,0.144
9,BETPOP_WM8_P15_guides-1.tif:21,5.950E-5,169.758,130.805,225.876,-92.533,0.378
10,BETPOP_WM8_P15_guides-1.tif:20,1.262E-5,167.144,140.034,195.428,77.276,0.080
11,BETPOP_WM8_P15_guides-1.tif:19,5.049E-5,169.619,142.043,205.990,83.908,0.321
12,BETPOP_WM8_P15_guides-1.tif:18,2.381E-5,159.165,130.706,201.273,94.783,0.151
13,BETPOP_WM8_P15_guides-1.tif:17,3.390E-5,163.472,121.144,201.581,100.290,0.215
14,BETPOP_WM8_P15_guides-1.tif:16,2.004E-5,161.390,94.050,196.208,103.916,0.127
