 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_WM2B_P1_guides.tif:22,5.530E-6,157.434,113.682,174.846,-96.740,0.035
2,ALNINC_WM2B_P1_guides.tif:21,1.540E-5,164.775,152.939,190.413,-97.973,0.098
3,ALNINC_WM2B_P1_guides.tif:20,4.910E-6,156.588,135.000,177.861,-105.306,0.031
4,ALNINC_WM2B_P1_guides.tif:19,1.843E-5,151.962,125.551,179.258,-100.795,0.117
5,ALNINC_WM2B_P1_guides.tif:18,2.205E-5,161.091,108.039,186.721,-105.555,0.140
6,ALNINC_WM2B_P1_guides.tif:22,5.803E-6,153.998,128.333,180.494,75.845,0.037
7,ALNINC_WM2B_P1_guides.tif:21,1.490E-5,158.124,127.708,175.925,91.432,0.095
8,ALNINC_WM2B_P1_guides.tif:20,6.200E-6,160.149,136.606,180.571,93.691,0.039
9,ALNINC_WM2B_P1_guides.tif:19,1.786E-5,156.251,120.653,178.852,97.352,0.113
10,ALNINC_WM2B_P1_guides.tif:18,2.039E-5,149.566,78.667,182.063,101.597,0.129
