 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETALL_WM8_P9_guides.tif:21,2.854E-5,183.030,153.974,225.742,-81.447,0.181
2,BETALL_WM8_P9_guides.tif:20,1.401E-5,176.593,145.748,217.963,-79.586,0.089
3,BETALL_WM8_P9_guides.tif:19,3.177E-5,170.430,140.250,210.998,-79.875,0.202
4,BETALL_WM8_P9_guides.tif:18,2.991E-5,169.862,136.090,206.543,-80.256,0.190
5,BETALL_WM8_P9_guides.tif:17,2.344E-5,154.897,116.800,198.750,-67.184,0.149
6,BETALL_WM8_P9_guides.tif:22,1.195E-5,184.875,150.000,225.018,101.870,0.076
7,BETALL_WM8_P9_guides.tif:21,2.770E-5,173.330,131.713,212.020,90.308,0.176
8,BETALL_WM8_P9_guides.tif:20,1.503E-5,173.299,140.830,212.673,85.166,0.095
9,BETALL_WM8_P9_guides.tif:19,3.157E-5,172.164,139.241,212.179,83.227,0.200
10,BETALL_WM8_P9_guides.tif:18,2.626E-5,165.274,135.895,203.085,77.383,0.167
11,BETALL_WM8_P9_guides.tif:17,3.169E-5,158.438,120.686,208.333,73.253,0.201
