 ,Label,Area,Mean,Min,Max,Angle,Length
1,BETPOP_GR5_P6_guides.tif:22,3.472E-6,101.890,78.667,130.428,-75.864,0.022
2,BETPOP_GR5_P6_guides.tif:21,4.910E-6,100.805,78.667,130.695,-79.487,0.031
3,BETPOP_GR5_P6_guides.tif:20,4.216E-6,99.841,78.667,134.999,-78.024,0.027
4,BETPOP_GR5_P6_guides.tif:19,1.240E-5,100.019,78.667,133.552,-76.075,0.079
5,BETPOP_GR5_P6_guides.tif:18,1.815E-5,99.357,78.667,133.345,-69.159,0.115
6,BETPOP_GR5_P6_guides.tif:17,8.382E-6,96.007,78.667,123.005,-66.400,0.053
7,BETPOP_GR5_P6_guides.tif:22,3.125E-6,97.076,78.667,118.843,87.252,0.020
8,BETPOP_GR5_P6_guides.tif:21,4.662E-6,99.436,78.667,128.235,89.694,0.029
9,BETPOP_GR5_P6_guides.tif:20,5.010E-6,98.741,78.667,127.086,92.279,0.032
10,BETPOP_GR5_P6_guides.tif:19,1.314E-5,97.844,78.667,123.935,90.542,0.083
11,BETPOP_GR5_P6_guides.tif:18,2.341E-5,96.275,78.667,125.821,86.291,0.149
12,BETPOP_GR5_P6_guides.tif:17,1.238E-5,95.414,78.667,121.098,80.519,0.078
